skills,certifications,experience_years,education_level,projects_completed,github_commits_per_year,soft_skills,expected_salary_lpa,job_role
"MongoDB, JavaScript, Docker, Node.js, Vue.js, MySQL",None,7.3,Bachelor's,19,195,"Leadership, Attention to Detail, Communication, Creativity",7.5,Web Developer
"React, Angular, MySQL, Node.js",None,2.7,Bachelor's,23,260,"Attention to Detail, Communication, Critical Thinking, Collaboration",12.2,Web Developer
"Scikit-learn, Keras, Deep Learning, MLOps, Hugging Face, Machine Learning",Microsoft Azure AI,7.5,PhD,13,153,"Leadership, Time Management, Collaboration, Communication",17.8,AI Engineer
"Node.js, MongoDB, Angular",None,1.0,Master's,21,264,"Teamwork, Adaptability, Time Management, Creativity",13.2,Web Developer
"HTML, React, Angular",None,8.8,Master's,12,294,"Adaptability, Collaboration, Critical Thinking, Teamwork",16.4,Web Developer
"Keras, OpenCV, TensorFlow, Machine Learning",None,8.9,Bachelor's,18,162,"Adaptability, Leadership, Time Management, Creativity",24.2,AI Engineer
"Statistics, Power BI, Data Visualization",Google Data Analytics,7.6,Master's,10,228,"Teamwork, Collaboration, Adaptability, Problem Solving",7.0,Data Analyst
"SQL, Statistics, NumPy, Power BI, Excel",IBM Data Analyst,4.7,Master's,11,159,"Problem Solving, Collaboration, Teamwork",11.2,Data Analyst
"Node.js, Docker, REST APIs, React, CSS, Vue.js",Meta Frontend Developer,9.6,Bachelor's,18,342,"Time Management, Creativity",3.2,Web Developer
"Tableau, Data Visualization, SQL, Excel, Pandas",None,11.2,Bachelor's,10,207,"Attention to Detail, Leadership, Teamwork, Problem Solving",7.0,Data Analyst
"Python, NumPy, SPSS, R, SQL, Tableau",SAS Certified Analyst,7.2,Master's,15,112,"Adaptability, Collaboration",10.4,Data Analyst
"PyTorch, NLP, Hugging Face, LangChain, Keras, Machine Learning",IBM AI Engineering,4.6,PhD,1,221,"Attention to Detail, Adaptability, Leadership",7.3,AI Engineer
"LangChain, MLOps, Python, OpenCV",None,4.7,Bachelor's,17,251,"Attention to Detail, Critical Thinking",9.0,AI Engineer
"R, Google Analytics, Excel",Microsoft Power BI,8.7,Bachelor's,16,158,"Critical Thinking, Communication, Attention to Detail",15.7,Data Analyst
"Keras, PyTorch, MLOps, NLP",AWS Machine Learning,8.3,PhD,14,225,"Teamwork, Collaboration",17.3,AI Engineer
"Machine Learning, TensorFlow, Deep Learning, Scikit-learn, Hugging Face, PyTorch",IBM AI Engineering,6.8,Master's,10,358,"Communication, Collaboration",10.3,AI Engineer
"Data Visualization, Power BI, Pandas, R",None,5.1,Diploma,14,244,"Collaboration, Teamwork, Problem Solving, Creativity",10.3,Data Analyst
"Vue.js, TypeScript, REST APIs, Angular",Node.js Certification,4.9,Bachelor's,18,317,"Critical Thinking, Creativity",6.6,Web Developer
"Hugging Face, TensorFlow, OpenCV",AWS Machine Learning,5.6,Bachelor's,14,301,"Time Management, Critical Thinking, Communication",15.7,AI Engineer
"TypeScript, REST APIs, Docker, CSS, Vue.js",React Developer Certification,4.0,Bachelor's,19,305,"Leadership, Creativity, Teamwork",10.9,Web Developer
"React, MongoDB, Node.js",Meta Frontend Developer,7.8,Master's,15,446,"Attention to Detail, Teamwork, Communication",13.5,Web Developer
"Google Analytics, Python, NumPy",SAS Certified Analyst,5.3,Master's,12,125,"Communication, Time Management",8.6,Data Analyst
"R, Pandas, Power BI, Statistics",Tableau Desktop Specialist,10.2,Diploma,10,256,"Adaptability, Collaboration",13.3,Data Analyst
"OpenCV, Keras, PyTorch, TensorFlow, Machine Learning, Hugging Face",Deep Learning Specialization,2.9,Bachelor's,12,168,"Critical Thinking, Collaboration, Problem Solving",12.0,AI Engineer
"Excel, Google Analytics, R, Statistics, Power BI",SAS Certified Analyst,3.2,PhD,4,146,"Time Management, Communication, Problem Solving, Adaptability",2.5,Data Analyst
"Data Visualization, Pandas, SPSS, Tableau, Power BI",SAS Certified Analyst,6.7,Bachelor's,16,156,"Attention to Detail, Adaptability",5.8,Data Analyst
"MySQL, Docker, Angular, REST APIs, Node.js, TypeScript",AWS Cloud Practitioner,7.2,Diploma,6,248,"Time Management, Creativity",4.1,Web Developer
"CSS, Angular, JavaScript, Node.js, TypeScript, React",React Developer Certification,8.7,Bachelor's,14,260,"Adaptability, Creativity",11.2,Web Developer
"Machine Learning, TensorFlow, MLOps",Google TensorFlow Developer,4.6,Bachelor's,13,225,"Teamwork, Adaptability",14.4,AI Engineer
"Hugging Face, Deep Learning, NLP, Machine Learning",Microsoft Azure AI,4.2,PhD,6,168,"Leadership, Critical Thinking, Communication, Problem Solving",21.9,AI Engineer
"Angular, CSS, HTML, React, MySQL, TypeScript",None,2.5,Master's,16,358,"Adaptability, Problem Solving",14.9,Web Developer
"PHP, MongoDB, JavaScript, TypeScript, React, Pandas",None,2.9,Diploma,24,383,"Adaptability, Time Management",9.4,Web Developer
"MLOps, Scikit-learn, Python, OpenCV, Machine Learning",Microsoft Azure AI,4.6,Master's,11,305,"Collaboration, Communication",13.7,AI Engineer
"NLP, Keras, PyTorch",AWS Machine Learning,10.7,PhD,8,247,"Leadership, Adaptability",13.9,AI Engineer
"Machine Learning, NLP, Python",Microsoft Azure AI,6.7,Master's,13,141,"Leadership, Adaptability, Attention to Detail",15.6,AI Engineer
"Scikit-learn, Machine Learning, LangChain",NVIDIA Deep Learning,3.7,Master's,13,211,"Communication, Time Management",13.3,AI Engineer
"REST APIs, MongoDB, Angular, PHP, React, TypeScript, Vue.js",AWS Cloud Practitioner,2.0,Bachelor's,20,318,"Problem Solving, Teamwork",8.3,Web Developer
"R, Power BI, NumPy, TypeScript",None,3.7,Bachelor's,14,44,"Teamwork, Problem Solving, Collaboration",4.7,Data Analyst
"Google Analytics, Python, Excel, Tableau",None,4.5,Master's,4,179,"Collaboration, Creativity, Critical Thinking",7.1,Data Analyst
"MLOps, TensorFlow, PyTorch, Machine Learning, Hugging Face, Python",Google TensorFlow Developer,8.2,Master's,12,321,"Teamwork, Communication, Time Management",12.4,AI Engineer
"LangChain, Deep Learning, TensorFlow, OpenCV",None,5.1,Master's,14,69,"Critical Thinking, Creativity",15.8,AI Engineer
"Statistics, Google Analytics, Tableau, SPSS, Data Visualization",Google Data Analytics,3.9,Master's,27,211,"Problem Solving, Critical Thinking",14.2,Data Analyst
"Python, MLOps, Hugging Face, OpenCV, Deep Learning",IBM AI Engineering,9.6,Diploma,5,119,"Problem Solving, Adaptability, Critical Thinking",18.0,AI Engineer
"Pandas, Excel, Statistics, Google Analytics",Google Data Analytics,5.0,Bachelor's,16,259,"Communication, Critical Thinking, Teamwork, Collaboration",6.4,Data Analyst
"TypeScript, PHP, JavaScript, HTML",MongoDB Developer,4.6,Bachelor's,1,320,"Problem Solving, Creativity",15.7,Web Developer
"Hugging Face, MLOps, OpenCV",Deep Learning Specialization,3.5,Master's,5,140,"Creativity, Problem Solving, Critical Thinking",15.2,AI Engineer
"REST APIs, Angular, PHP, Keras",None,7.9,Master's,21,211,"Communication, Leadership, Critical Thinking, Collaboration",9.7,Web Developer
"OpenCV, Python, Deep Learning, LangChain",AWS Machine Learning,6.9,PhD,15,208,"Time Management, Attention to Detail, Collaboration, Creativity",12.4,AI Engineer
"MLOps, NLP, LangChain, Deep Learning, Python, PyTorch, Scikit-learn",AWS Machine Learning,3.2,Bachelor's,10,280,"Time Management, Adaptability, Attention to Detail, Communication",15.8,AI Engineer
"NumPy, Pandas, R, SPSS, Google Analytics",Microsoft Power BI,3.5,Bachelor's,15,171,"Adaptability, Attention to Detail, Creativity, Communication",9.3,Data Analyst
"HTML, Angular, Vue.js, CSS, REST APIs, React",AWS Cloud Practitioner,5.6,Bachelor's,27,321,"Problem Solving, Critical Thinking",9.9,Web Developer
"LangChain, TensorFlow, Machine Learning, NLP",None,3.3,PhD,5,275,"Leadership, Adaptability, Creativity, Problem Solving",13.4,AI Engineer
"Python, Deep Learning, Keras, LangChain",Google TensorFlow Developer,3.9,Master's,8,173,"Communication, Collaboration",10.2,AI Engineer
"OpenCV, Python, MLOps",Deep Learning Specialization,11.1,Master's,1,178,"Communication, Time Management, Critical Thinking",13.3,AI Engineer
"Deep Learning, Keras, Hugging Face",Microsoft Azure AI,4.7,PhD,4,225,"Problem Solving, Communication",20.5,AI Engineer
"NLP, Machine Learning, MLOps, Hugging Face, Scikit-learn, TensorFlow",Microsoft Azure AI,2.8,PhD,12,177,"Creativity, Attention to Detail",10.7,AI Engineer
"REST APIs, MySQL, Docker, PHP, Vue.js",None,4.1,PhD,22,244,"Attention to Detail, Adaptability, Time Management",11.5,Web Developer
"Google Analytics, Excel, SPSS, R, Data Visualization",IBM Data Analyst,6.9,Master's,11,215,"Communication, Time Management, Problem Solving, Adaptability",10.9,Data Analyst
"PHP, JavaScript, CSS, Node.js, MySQL",None,4.6,Diploma,19,232,"Collaboration, Creativity, Communication, Attention to Detail",15.7,Web Developer
"NLP, Deep Learning, TensorFlow, OpenCV",IBM AI Engineering,5.0,Bachelor's,19,313,"Time Management, Communication",18.1,AI Engineer
"R, Tableau, NumPy, Data Visualization, Google Analytics",SAS Certified Analyst,3.7,Master's,20,214,"Critical Thinking, Creativity, Leadership, Teamwork",5.8,Data Analyst
"SPSS, Google Analytics, Excel, SQL, Data Visualization",Google Data Analytics,10.4,Master's,6,219,"Adaptability, Collaboration, Communication",10.9,Data Analyst
"Excel, Tableau, R, Data Visualization, Power BI, Python",AWS Data Analytics,5.6,Bachelor's,13,215,"Communication, Critical Thinking, Creativity, Time Management",7.1,Data Analyst
"Node.js, MySQL, React, REST APIs",None,3.1,Bachelor's,19,365,"Communication, Leadership, Attention to Detail, Critical Thinking",10.3,Web Developer
"MLOps, Keras, Python",Microsoft Azure AI,4.1,Master's,12,386,"Adaptability, Attention to Detail, Critical Thinking",13.9,AI Engineer
"React, Angular, MongoDB, Keras",MongoDB Developer,7.7,Bachelor's,19,166,"Collaboration, Time Management, Teamwork",7.2,Web Developer
"NLP, Hugging Face, Deep Learning, TensorFlow",NVIDIA Deep Learning,2.4,PhD,4,210,"Time Management, Collaboration, Adaptability, Attention to Detail",16.0,AI Engineer
"Keras, OpenCV, Machine Learning, MLOps, Python, TensorFlow",None,6.1,Bachelor's,11,210,"Creativity, Teamwork",13.9,AI Engineer
"TypeScript, MySQL, REST APIs, Node.js",AWS Cloud Practitioner,3.8,Diploma,26,284,"Attention to Detail, Adaptability, Time Management",7.7,Web Developer
"SPSS, Excel, SQL, Google Analytics",None,6.0,Bachelor's,6,109,"Time Management, Critical Thinking, Creativity, Leadership",8.7,Data Analyst
"Pandas, Python, NumPy",SAS Certified Analyst,7.7,Bachelor's,5,139,"Time Management, Creativity, Adaptability, Attention to Detail",5.5,Data Analyst
"Vue.js, JavaScript, CSS, TypeScript",None,1.2,Master's,3,327,"Attention to Detail, Problem Solving, Leadership",9.0,Web Developer
"Keras, Python, NLP, Deep Learning, Machine Learning",NVIDIA Deep Learning,7.0,PhD,5,367,"Problem Solving, Creativity",19.3,AI Engineer
"Keras, PyTorch, NLP, TensorFlow",IBM AI Engineering,4.3,Master's,6,10,"Creativity, Attention to Detail, Time Management",11.1,AI Engineer
"Pandas, Data Visualization, Excel, R, NumPy, Node.js",None,6.6,Master's,7,182,"Attention to Detail, Communication",5.3,Data Analyst
"React, MongoDB, JavaScript, REST APIs, PHP, TypeScript, CSS",Node.js Certification,7.1,Diploma,15,135,"Collaboration, Communication, Time Management",6.1,Web Developer
"NLP, Keras, Scikit-learn, Hugging Face, LangChain",NVIDIA Deep Learning,3.0,Bachelor's,8,244,"Collaboration, Creativity, Problem Solving",17.2,AI Engineer
"Angular, TypeScript, Vue.js, REST APIs, Node.js, CSS",React Developer Certification,7.4,Bachelor's,12,321,"Problem Solving, Collaboration, Communication, Creativity",14.2,Web Developer
"SQL, Tableau, NumPy, Data Visualization, Pandas, Python",AWS Data Analytics,4.3,Diploma,14,228,"Creativity, Communication, Critical Thinking, Adaptability",10.4,Data Analyst
"Data Visualization, NumPy, Excel, Python, SPSS, Google Analytics",AWS Data Analytics,4.2,Master's,15,134,"Communication, Attention to Detail",10.6,Data Analyst
"Python, NLP, OpenCV, TensorFlow, Scikit-learn, LangChain",None,5.8,PhD,1,230,"Critical Thinking, Adaptability",10.3,AI Engineer
"MLOps, Hugging Face, Machine Learning, Keras, Deep Learning",Google TensorFlow Developer,4.2,Master's,4,155,"Time Management, Creativity",17.3,AI Engineer
"OpenCV, PyTorch, Keras, MLOps, Scikit-learn, Python",Microsoft Azure AI,2.7,Master's,2,326,"Attention to Detail, Leadership, Time Management",13.7,AI Engineer
"SQL, R, Python",Microsoft Power BI,3.0,PhD,4,133,"Creativity, Collaboration",11.3,Data Analyst
"Power BI, Statistics, Tableau, SQL, Data Visualization",None,2.9,Master's,10,208,"Time Management, Problem Solving, Creativity, Critical Thinking",2.9,Data Analyst
"OpenCV, Machine Learning, NLP, Deep Learning, LangChain",None,3.8,Bachelor's,13,206,"Problem Solving, Time Management, Adaptability, Critical Thinking",16.0,AI Engineer
"Vue.js, JavaScript, HTML, REST APIs, MongoDB",AWS Cloud Practitioner,3.2,Bachelor's,12,266,"Leadership, Adaptability",8.5,Web Developer
"CSS, MySQL, Node.js, REST APIs",Meta Frontend Developer,1.5,Bachelor's,10,339,"Critical Thinking, Problem Solving, Creativity",5.8,Web Developer
"Hugging Face, LangChain, Scikit-learn, Machine Learning, TensorFlow, MLOps",None,2.8,Master's,1,200,"Critical Thinking, Creativity, Attention to Detail",14.6,AI Engineer
"TensorFlow, NLP, Python, MLOps, LangChain, Deep Learning",IBM AI Engineering,4.1,Bachelor's,13,125,"Problem Solving, Teamwork",13.0,AI Engineer
"MLOps, LangChain, Python, OpenCV, Scikit-learn, TensorFlow",None,2.5,Master's,12,190,"Creativity, Communication, Critical Thinking, Time Management",11.7,AI Engineer
"Google Analytics, Tableau, SQL",None,2.1,Master's,5,207,"Adaptability, Attention to Detail, Time Management",10.7,Data Analyst
"Hugging Face, MLOps, Scikit-learn, Keras, Machine Learning, LangChain",Google TensorFlow Developer,5.3,Master's,12,163,"Communication, Teamwork",22.4,AI Engineer
"Statistics, Google Analytics, Power BI, Data Visualization, Excel",None,7.5,Master's,13,285,"Teamwork, Leadership, Collaboration",9.5,Data Analyst
"CSS, HTML, React, Angular, MySQL",Meta Frontend Developer,1.9,Diploma,22,258,"Problem Solving, Communication",14.8,Web Developer
"R, Tableau, Power BI, Data Visualization, Pandas, Python",Google Data Analytics,2.4,Master's,9,258,"Attention to Detail, Creativity, Problem Solving, Communication",8.2,Data Analyst
"R, SPSS, Data Visualization",Tableau Desktop Specialist,4.4,PhD,21,149,"Collaboration, Leadership, Teamwork",10.6,Data Analyst
"Keras, Hugging Face, MLOps",Deep Learning Specialization,4.8,Master's,1,129,"Leadership, Time Management",16.8,AI Engineer
"TypeScript, Vue.js, CSS, MySQL, HTML",None,4.5,Bachelor's,19,375,"Critical Thinking, Attention to Detail, Communication, Adaptability",10.6,Web Developer
"SPSS, Statistics, Python, SQL, Pandas",Microsoft Power BI,5.6,Master's,16,90,"Collaboration, Communication, Teamwork, Adaptability",10.6,Data Analyst
"MLOps, Scikit-learn, OpenCV, TensorFlow",None,7.1,Bachelor's,7,244,"Creativity, Leadership, Adaptability",18.6,AI Engineer
"SQL, Data Visualization, Pandas, Excel, Power BI, NumPy",None,8.5,Bachelor's,14,138,"Time Management, Leadership",11.3,Data Analyst
"Node.js, PHP, HTML",None,6.0,Master's,9,340,"Leadership, Adaptability, Teamwork, Time Management",7.0,Web Developer
"TypeScript, CSS, Docker, MySQL",MongoDB Developer,5.8,Diploma,6,258,"Time Management, Collaboration, Critical Thinking, Leadership",9.9,Web Developer
"MongoDB, JavaScript, Docker, Vue.js, TypeScript, Angular",None,6.4,Diploma,16,289,"Leadership, Attention to Detail, Collaboration, Critical Thinking",9.4,Web Developer
"Google Analytics, Excel, Tableau, SPSS, Power BI",SAS Certified Analyst,1.7,Bachelor's,17,166,"Communication, Attention to Detail, Critical Thinking",11.2,Data Analyst
"Angular, React, MySQL, JavaScript, Vue.js",AWS Cloud Practitioner,1.8,Master's,13,244,"Time Management, Creativity",10.5,Web Developer
"REST APIs, Node.js, CSS, Vue.js",Meta Frontend Developer,8.5,Bachelor's,16,194,"Communication, Adaptability, Time Management, Creativity",12.1,Web Developer
"Python, Hugging Face, OpenCV, PyTorch",NVIDIA Deep Learning,6.6,Bachelor's,9,306,"Communication, Collaboration",19.6,AI Engineer
"Machine Learning, Hugging Face, LangChain, PyTorch, Scikit-learn",NVIDIA Deep Learning,3.4,Master's,5,390,"Collaboration, Adaptability, Creativity, Communication",13.3,AI Engineer
"Deep Learning, Keras, TensorFlow, Machine Learning, NLP",None,7.9,Master's,7,120,"Adaptability, Teamwork",15.3,AI Engineer
"Docker, JavaScript, Node.js, Angular",Google UX Design,8.0,Bachelor's,19,156,"Adaptability, Leadership",12.2,Web Developer
"OpenCV, MLOps, Keras, Scikit-learn",Google TensorFlow Developer,2.4,Master's,14,231,"Critical Thinking, Communication, Time Management, Teamwork",19.2,AI Engineer
"REST APIs, CSS, React, PHP",None,9.9,Diploma,10,348,"Critical Thinking, Creativity",7.5,Web Developer
"NLP, OpenCV, Hugging Face, TensorFlow, Machine Learning",Microsoft Azure AI,1.9,Master's,11,200,"Adaptability, Teamwork, Critical Thinking, Problem Solving",10.4,AI Engineer
"Deep Learning, Hugging Face, Scikit-learn, R",Microsoft Azure AI,1.7,Bachelor's,9,189,"Problem Solving, Time Management",14.0,AI Engineer
"Hugging Face, TensorFlow, MLOps",Microsoft Azure AI,5.7,Master's,5,154,"Time Management, Problem Solving, Communication, Adaptability",10.6,AI Engineer
"Angular, REST APIs, CSS, NLP",None,10.7,PhD,19,257,"Adaptability, Leadership",13.5,Web Developer
"Excel, Google Analytics, Pandas, SPSS, Data Visualization, Python",SAS Certified Analyst,2.6,Bachelor's,20,135,"Time Management, Collaboration, Communication",13.4,Data Analyst
"Google Analytics, NumPy, Python, Docker",None,4.7,Master's,17,137,"Time Management, Communication",6.9,Data Analyst
"Deep Learning, TensorFlow, Machine Learning, Statistics",None,4.3,Master's,9,167,"Time Management, Critical Thinking, Problem Solving, Creativity",15.1,AI Engineer
"Data Visualization, Power BI, R",Microsoft Power BI,8.5,Bachelor's,15,179,"Creativity, Attention to Detail",10.1,Data Analyst
"Python, LangChain, Machine Learning, TensorFlow, HTML",NVIDIA Deep Learning,5.0,Master's,15,283,"Critical Thinking, Leadership, Attention to Detail",15.4,AI Engineer
"SPSS, Excel, Power BI, SQL, R",None,1.8,Diploma,6,95,"Teamwork, Time Management, Leadership, Attention to Detail",2.5,Data Analyst
"TensorFlow, NLP, Scikit-learn",Microsoft Azure AI,5.7,PhD,16,325,"Adaptability, Time Management, Communication",12.7,AI Engineer
"MongoDB, CSS, PHP, Node.js, Vue.js, React",MongoDB Developer,7.9,Diploma,19,300,"Creativity, Adaptability",11.6,Web Developer
"R, Tableau, Python, SQL, Data Visualization, Pandas",IBM Data Analyst,5.9,Bachelor's,4,222,"Communication, Leadership",6.5,Data Analyst
"Vue.js, CSS, JavaScript, Angular, PHP, HTML, Pandas",React Developer Certification,6.9,Master's,15,288,"Problem Solving, Leadership, Collaboration",2.5,Web Developer
"Angular, TypeScript, PHP",None,4.2,Diploma,7,273,"Communication, Problem Solving, Teamwork, Creativity",14.4,Web Developer
"MLOps, LangChain, Python, Hugging Face, Deep Learning",None,6.6,Bachelor's,15,266,"Creativity, Adaptability, Attention to Detail, Collaboration",14.1,AI Engineer
"SPSS, Tableau, Power BI, SQL, NumPy, Pandas",IBM Data Analyst,6.4,Master's,17,192,"Collaboration, Time Management, Leadership, Critical Thinking",11.9,Data Analyst
"Angular, MongoDB, MySQL, Vue.js, CSS, React",Meta Frontend Developer,7.6,Master's,22,341,"Teamwork, Time Management, Collaboration, Attention to Detail",11.2,Web Developer
"SPSS, SQL, Power BI, Data Visualization, Tableau, R",None,9.1,Master's,8,85,"Critical Thinking, Problem Solving, Creativity, Collaboration",9.7,Data Analyst
"TypeScript, JavaScript, PHP, Node.js, NLP",None,5.5,Master's,25,164,"Adaptability, Teamwork, Critical Thinking",11.9,Web Developer
"Data Visualization, SPSS, Google Analytics, SQL, Statistics, Keras",None,4.2,Bachelor's,8,174,"Adaptability, Critical Thinking, Collaboration, Problem Solving",5.3,Data Analyst
"R, Data Visualization, Google Analytics, SQL, Power BI",None,5.7,Bachelor's,8,150,"Attention to Detail, Teamwork, Problem Solving, Creativity",4.7,Data Analyst
"Deep Learning, Machine Learning, Hugging Face",Deep Learning Specialization,2.2,Bachelor's,6,188,"Communication, Collaboration",16.0,AI Engineer
"Pandas, SQL, Data Visualization, NumPy",None,3.3,Bachelor's,11,251,"Communication, Attention to Detail",9.8,Data Analyst
"MLOps, Python, Scikit-learn",None,4.5,Bachelor's,7,272,"Communication, Teamwork, Leadership, Attention to Detail",9.5,AI Engineer
"Tableau, NumPy, Python, Statistics",None,4.2,Master's,18,130,"Teamwork, Adaptability, Time Management, Communication",9.6,Data Analyst
"JavaScript, React, MySQL, Node.js, TypeScript, PHP",MongoDB Developer,7.0,Master's,19,278,"Attention to Detail, Critical Thinking, Collaboration",9.3,Web Developer
"Keras, Hugging Face, MLOps, Machine Learning",AWS Machine Learning,5.2,Master's,9,260,"Collaboration, Attention to Detail, Teamwork",12.2,AI Engineer
"Power BI, Python, Tableau, NumPy, Google Analytics, SPSS, Excel",SAS Certified Analyst,4.9,Diploma,4,127,"Communication, Time Management",2.7,Data Analyst
"Deep Learning, Machine Learning, MLOps, TensorFlow, Hugging Face, Scikit-learn",Google TensorFlow Developer,4.6,PhD,13,263,"Teamwork, Time Management, Collaboration, Communication",16.6,AI Engineer
"Tableau, NumPy, Pandas, Angular",IBM Data Analyst,3.9,Master's,18,198,"Leadership, Problem Solving, Teamwork",2.5,Data Analyst
"Scikit-learn, OpenCV, PyTorch, Deep Learning",Deep Learning Specialization,6.6,PhD,9,204,"Leadership, Teamwork, Attention to Detail",19.0,AI Engineer
"Pandas, NumPy, R, Statistics, Data Visualization, Tableau, Excel",Tableau Desktop Specialist,5.2,Master's,9,249,"Teamwork, Leadership, Communication, Creativity",12.6,Data Analyst
"Data Visualization, Python, Statistics, SPSS, Tableau",Google Data Analytics,3.2,Diploma,6,243,"Time Management, Attention to Detail, Communication, Teamwork",8.4,Data Analyst
"TensorFlow, OpenCV, PyTorch, LangChain",NVIDIA Deep Learning,11.0,PhD,8,133,"Communication, Problem Solving",16.4,AI Engineer
"React, Vue.js, CSS, HTML, MySQL",Google UX Design,4.4,Bachelor's,10,394,"Adaptability, Leadership, Communication, Collaboration",7.6,Web Developer
"MongoDB, Docker, MySQL, React, CSS",AWS Cloud Practitioner,5.5,Master's,6,358,"Time Management, Adaptability",10.2,Web Developer
"Python, Google Analytics, SPSS, Excel",Google Data Analytics,8.4,Master's,11,149,"Critical Thinking, Collaboration, Teamwork",6.8,Data Analyst
"OpenCV, MLOps, Python",AWS Machine Learning,4.5,Bachelor's,10,207,"Time Management, Creativity, Teamwork, Communication",15.1,AI Engineer
"PHP, Node.js, Angular",Google UX Design,9.2,Master's,15,332,"Time Management, Critical Thinking, Problem Solving, Attention to Detail",20.6,Web Developer
"CSS, MySQL, Docker, REST APIs",AWS Cloud Practitioner,3.6,PhD,26,368,"Creativity, Communication",13.0,Web Developer
"NLP, LangChain, TensorFlow, Python, OpenCV, Hugging Face",NVIDIA Deep Learning,3.9,Master's,6,190,"Problem Solving, Leadership, Time Management",16.4,AI Engineer
"LangChain, Machine Learning, TensorFlow, OpenCV",None,2.2,Master's,20,301,"Creativity, Teamwork, Problem Solving",9.8,AI Engineer
"Power BI, SPSS, Google Analytics, Statistics",None,2.8,PhD,7,247,"Communication, Teamwork, Critical Thinking, Adaptability",7.0,Data Analyst
"Excel, Statistics, Pandas, Data Visualization, SPSS",Microsoft Power BI,4.5,Bachelor's,16,234,"Creativity, Attention to Detail",9.8,Data Analyst
"HTML, MongoDB, REST APIs, CSS",Google UX Design,3.8,Master's,13,354,"Creativity, Leadership",4.7,Web Developer
"Machine Learning, TensorFlow, Scikit-learn, LangChain, Keras, PyTorch",NVIDIA Deep Learning,1.7,Master's,8,260,"Time Management, Attention to Detail",10.7,AI Engineer
"JavaScript, CSS, MongoDB, Angular, REST APIs",Google UX Design,10.6,Bachelor's,20,324,"Attention to Detail, Leadership, Problem Solving",18.1,Web Developer
"Statistics, Excel, Python",IBM Data Analyst,2.9,Master's,1,244,"Teamwork, Creativity, Collaboration, Communication",11.9,Data Analyst
"Power BI, SQL, Python, SPSS, Data Visualization, NumPy",None,3.1,Bachelor's,20,182,"Time Management, Teamwork",13.1,Data Analyst
"NLP, Python, Deep Learning, Machine Learning, LangChain, OpenCV",None,11.5,Bachelor's,12,254,"Communication, Time Management",20.3,AI Engineer
"Statistics, NumPy, Tableau, SPSS, Python",SAS Certified Analyst,6.5,Diploma,4,127,"Problem Solving, Collaboration",11.1,Data Analyst
"Node.js, HTML, Vue.js, React, Docker, JavaScript",Node.js Certification,1.9,Bachelor's,20,335,"Critical Thinking, Attention to Detail, Creativity",7.6,Web Developer
"Angular, CSS, MySQL, PHP",Meta Frontend Developer,1.5,Bachelor's,20,192,"Creativity, Problem Solving, Time Management",12.1,Web Developer
"OpenCV, Machine Learning, MLOps",Deep Learning Specialization,5.2,Master's,9,285,"Problem Solving, Critical Thinking",9.9,AI Engineer
"Python, MLOps, Keras, Hugging Face, Scikit-learn, LangChain, Power BI",Deep Learning Specialization,3.9,Bachelor's,4,200,"Leadership, Adaptability, Time Management, Communication",11.5,AI Engineer
"Data Visualization, Power BI, SQL, SPSS",Tableau Desktop Specialist,4.1,Master's,7,102,"Adaptability, Collaboration, Attention to Detail, Creativity",4.4,Data Analyst
"Python, Keras, Deep Learning, TensorFlow, Hugging Face, LangChain",Google TensorFlow Developer,8.2,Diploma,11,205,"Communication, Creativity, Critical Thinking",12.3,AI Engineer
"REST APIs, Docker, React, CSS, JavaScript",AWS Cloud Practitioner,1.9,Master's,25,155,"Collaboration, Communication, Teamwork",7.8,Web Developer
"MongoDB, HTML, Docker",MongoDB Developer,4.0,Master's,19,192,"Time Management, Attention to Detail, Problem Solving, Adaptability",11.0,Web Developer
"SPSS, Python, Statistics",None,1.4,Bachelor's,7,112,"Creativity, Collaboration, Problem Solving",8.6,Data Analyst
"Machine Learning, NLP, LangChain, TensorFlow, OpenCV, Keras",Microsoft Azure AI,1.6,PhD,16,225,"Adaptability, Creativity, Problem Solving",17.8,AI Engineer
"MLOps, Scikit-learn, Machine Learning, Keras, OpenCV",Deep Learning Specialization,3.7,Master's,12,147,"Creativity, Collaboration",11.7,AI Engineer
"Power BI, NumPy, Pandas",Google Data Analytics,1.6,Master's,13,128,"Critical Thinking, Adaptability, Collaboration, Communication",4.3,Data Analyst
"Python, R, Data Visualization, Google Analytics, Pandas, Scikit-learn",Microsoft Power BI,10.7,Bachelor's,15,242,"Time Management, Communication, Leadership",7.5,Data Analyst
"NumPy, Tableau, R, Excel, Google Analytics",Google Data Analytics,8.0,Master's,12,249,"Attention to Detail, Critical Thinking, Teamwork",13.7,Data Analyst
"Excel, Statistics, SQL, Pandas",Microsoft Power BI,4.5,Master's,19,145,"Communication, Leadership, Critical Thinking, Collaboration",3.6,Data Analyst
"TypeScript, Vue.js, HTML, PHP, MySQL, Angular",AWS Cloud Practitioner,2.2,Bachelor's,13,250,"Leadership, Time Management, Teamwork, Collaboration",9.9,Web Developer
"Python, Keras, NLP, TensorFlow, HTML",Microsoft Azure AI,7.1,PhD,13,54,"Critical Thinking, Adaptability, Creativity, Communication",20.2,AI Engineer
